Nama Kelompok,Nama komoditi,Tahun,Masukan,Keluaran,Impor,Ekpor,Perubahan stok,Pakan,Bibit,Makanan,Bukan makanan,Tercecer,Penggunaan lain,Bahan makanan,Kg tahun,Gram hari,Kalori hari,Protein hari,Lemak hari,Status angka,Kd uraian,Create at
Padi - Padian,Jagung basah,2007,0,597,1,4,0,0,0,0,0,0,,593,2.63,7.21,3,0.08,0.03,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,2008,0,399,1,1,0,0,0,0,85,0,,313,1.37,3.75,1,0.04,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,2009,0,322,1,1,0,0,0,0,160,0,,162,0.69,1.89,1,0.02,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,2010,0,525,0,0,0,0,0,0,279,0,,246,1.03,2.82,1,0.03,0.01,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,2011,0,1747,1,1,0,0,0,0,1581,0,,167,0.69,1.89,0,0.01,0,0,,04/01/2023 - 08:59
Padi - Padian,Jagung basah,2012,0,1762,3,1,0,0,0,0,1603,0,,162,0.66,1.81,0,0.01,0,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,1993,2636,1898,42,0,-11,0,0,0,12,0,,1939,10.34,28.32,103,2.52,0.37,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,1994,3355,2416,25,0,7,0,0,0,34,0,,2400,12.58,34.47,126,3.07,0.45,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,1995,3882,2795,158,0,21,0,0,0,87,0,,2845,14.7,40.29,147,3.59,0.52,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,1996,4122,2968,20,2,-9,0,0,0,62,0,,2933,14.9,40.83,149,3.63,0.53,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,1997,3506,2524,15,0,6,0,0,0,50,0,,2483,12.43,34.05,124,3.03,0.44,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,1998,3133,2256,23,0,0,0,0,0,53,0,,2226,10.97,30.06,100,2.71,0.3,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,1999,2713,1953,367,1,0,0,0,0,6,0,,2313,11.41,31.25,101,2.81,0.31,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2000,3589,2584,459,3,0,0,0,0,6,0,,3034,14.74,40.38,134,3.63,0.4,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2001,2718,1957,256,2,0,0,0,0,46,0,,2164,10.38,28.45,95,2.56,0.28,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2002,4345,3129,343,31,63,0,0,0,6,10,,3362,15.93,43.65,145,3.93,0.44,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2003,3582.15,2579.15,343.55,55.81,52.18,0,0,0,5.35,8.16,,2801.2,13.11,35.91,120,3.23,0.36,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2004,4630,3334,308,229,62,0,0,0,6,10,,3334,15.41,42.21,141,3.8,0.42,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2005,4416,3179,478,231,0,0,0,0,7,10,,3410,15.51,42.5,142,3.82,0.42,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2006,4467,3216,537,173,0,0,0,0,11,10,,3559,15.98,43.77,146,3.94,0.44,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2007,4542,3270,584,55,0,0,0,0,14,11,,3775,16.73,45.83,153,4.12,0.46,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2008,4458,3210,533,49,0,0,0,0,24,11,,3658,16.01,43.86,146,3.95,0.44,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2009,4641,3341,648,66,0,0,0,0,59,11,,3853,16.44,45.03,150,4.05,0.45,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2010,4758,3426,779,145,0,0,0,0,34,12,,4014,16.83,46.11,1564,4.15,0.46,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2011,5617,4044,681,32,0,0,0,0,67,14,,4614,19.06,52.23,174,4.7,0.52,0,,04/01/2023 - 08:59
Padi - Padian,Tepung Gandum,2012,6195,4461,490,46,0,0,0,0,54,14,,4837,19.71,53.99,180,4.86,0.54,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,1993,321,129,0,1,0,0,0,0,0,0,,128,0.68,1.86,7,0.01,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,1994,328,131,0,0,0,0,0,0,1,0,,130,0.68,1.86,7,0.01,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,1995,344,137,0,1,0,0,0,0,1,0,,135,0.7,1.92,7,0.01,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,1996,305,122,0,0,0,0,0,0,0,0,,122,0.62,1.7,6,0.01,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,1997,343,137,0,0,0,0,0,0,13,0,,124,0.62,1.7,6,0.01,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,1998,417,167,0,1,0,0,0,0,40,0,,126,0.62,1.7,4,0.01,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,1999,258,103,0,1,0,0,0,0,7,0,,95,0.47,1.29,3,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2000,342,137,0,0,0,0,0,0,5,0,,132,0.64,1.75,4,0.01,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2001,347,139,0,0,0,0,0,0,1,0,,138,0.66,1.81,4,0.01,0,0,,04/01/2023 - 08:59
Makanan berpati,Sagu/Tepung sagu,2002,194,78,0,2,-2,0,0,0,14,1,,63,0.3,0.82,2,0,0,0,,04/01/2023 - 08:59
