tahun,bulan,kode_kelompok,nama_kelompok,kode_komoditi,nama_komoditi,kalori_kap_perhari,protein_kap_perhari,lemak_kap_perhari
1993,1,09,Susu,0901,"Susu Segar",0.003029668155178082,0.000158933411419178,0.000163900080526027
1993,1,09,Susu,0902,"Susu UHT",0.032482895018520544,0.001722379312473972,0.001748575195553424
1993,1,10,Ikan,1001,"Ikan Lele",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,1,10,Ikan,1002,"Ikan Kakap",0.061389788286904102,0.000000000000000000,0.006944546186301369
1993,1,10,Ikan,1004,"Ikan Tuna",0.185334993770630134,0.000000000000000000,0.020965497032876712
1993,1,10,Ikan,1005,Udang,0.001036114554301367,0.000000000000000000,0.000117207528767123
1993,1,10,Ikan,1006,Cumi-cumi,0.000129514307178079,0.000000000000000000,0.000014650939726027
1993,1,10,Ikan,1007,"Ikan Nila",0.000210094495315063,0.000000058603764384,0.000023441505753424
1993,1,10,Ikan,1009,"Ikan Tongkol",0.001942714801424656,0.000000000000000000,0.000219764117808219
1993,2,01,"Padi - Padian",0102,Beras,1.486044978381369860,0.028069738480536986,0.002889531902408219
1993,2,01,"Padi - Padian",0103,Jagung,0.289411764699999999,0.007453344077205479,0.003726672038602740
1993,2,01,"Padi - Padian",0104,"Jagung Basah",0.003699069664438356,0.000134861914849315,0.000046238370805479
1993,2,01,"Padi - Padian",0106,"Tepung Gandum",0.103405757817753424,0.002926042048139726,0.000340898102695890
1993,2,02,"Makanan berpati",0201,"Ubi Jalar",0.023057651452493151,0.000428979561906849,0.000026811222619178
1993,2,02,"Makanan berpati",0202,"Ubi Kayu",0.234415061163835616,0.002051131785183562,0.000439528239682192
1993,2,02,"Makanan berpati",0203,Gaplek,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,2,02,"Makanan berpati",0204,Tapioka,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,2,02,"Makanan berpati",0205,"Tepung Sagu",0.006657387731232874,0.000013127243413699,0.000003750640975342
1993,2,03,Gula,0301,"Gula Pasir",0.123093839274410958,0.000000000000000000,0.000000000000000000
1993,2,03,Gula,0302,"Gula Merah",0.014809171488767120,0.000003897150391781,0.000000000000000000
1993,2,04,"Buah/Biji Berminyak",0402,"Kacang Tanah Lepas Kulit",0.055159035967479450,0.002509882059895890,0.004786286718871233
1993,2,04,"Buah/Biji Berminyak",0403,Kedelai,0.114412717008821916,0.001066559226353425,0.010827192146315068
1993,2,04,"Buah/Biji Berminyak",0404,"Kacang Hijau",0.028169364881013693,0.000798769320909589,0.002812687715117808
1993,2,04,"Buah/Biji Berminyak",0405,"Kelapa Daging",0.217933924251863009,0.006731990330293151,0.018902820305964383
1993,2,04,"Buah/Biji Berminyak",0406,"Biji Bunga Matahari",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,2,05,Buah-buahan,0501,Alpokat,0.001992528017534246,0.000024906600219178,0.000183063511610959
1993,2,05,Buah-buahan,0502,Jeruk,0.001755915316739726,0.000033623910320548,0.000003735990035616
1993,2,05,Buah-buahan,0503,Duku,0.000498425022986301,0.000007911508301370,0.000001582301660274
1993,2,05,Buah-buahan,0504,Durian,0.003316680093616437,0.000033843674424658,0.000119580982967123
