tahun,bulan,total_kalori_hari,jumlah_komoditi,populasi,date,month_sin,month_cos,kalori_ma3,kalori_std3,kalori_ma6,kalori_std6,kalori_ma12,kalori_std12,kalori_lag1,kalori_lag2,kalori_lag3,kalori_lag6,kalori_lag12,period
2011,11,402137.0958903728,6,231787938.0,2011-11-01,-0.5000000000000004,0.8660254037844384,583411.3972602185,313976.3000791256,583411.3972602185,280828.9401203188,529283.3424657031,231483.8132498804,402137.0958903728,945959.99999991,402137.0958903728,402137.0958903728,285308.2635616167,2011-11-01
2011,12,402137.0958903728,6,231787938.0,2011-12-01,-2.4492935982947064e-16,1.0,402137.0958903728,0.0,492774.2465752957,222014.77091781184,492774.2465752956,211682.77833006388,402137.0958903728,402137.0958903728,945959.99999991,945959.99999991,840246.2465752626,2011-12-01
2012,1,891877.281972518,8,234569393.0,2012-01-01,0.4999999999999999,0.8660254037844387,565383.8245844211,282751.62826750404,574397.6109223198,267412.2998904408,533585.9287488078,238172.3218813521,402137.0958903728,402137.0958903728,402137.0958903728,402137.0958903728,402137.0958903728,2012-01-01
2012,2,891877.281972518,8,234569393.0,2012-02-01,0.8660254037844386,0.5000000000000001,728630.5532784695,282751.6282675042,656020.975269344,278816.10624588496,574397.6109223198,254967.6238496584,891877.281972518,402137.0958903728,402137.0958903728,402137.0958903728,402137.0958903728,2012-02-01
2012,3,1469033.94520534,8,234569393.0,2012-03-01,1.0,6.123233995736766e-17,1084262.8363834585,333221.5548820565,743199.9661369157,428956.0578989161,663305.6816985671,355596.5699698296,891877.281972518,891877.281972518,402137.0958903728,945959.99999991,402137.0958903728,2012-03-01
2012,4,891877.281972518,8,234569393.0,2012-04-01,0.8660254037844387,-0.4999999999999998,1084262.8363834585,333221.5548820565,824823.3304839398,396439.9876854498,704117.3638720792,350970.98452127306,1469033.94520534,891877.281972518,891877.281972518,402137.0958903728,402137.0958903728,2012-04-01
2012,5,891877.281972518,8,234569393.0,2012-05-01,0.4999999999999999,-0.8660254037844387,1084262.8363834585,333221.5548820565,906446.694830964,338136.55733492656,744929.0460455912,340996.0724256549,891877.281972518,1469033.94520534,891877.281972518,402137.0958903728,402137.0958903728,2012-05-01
2012,6,891877.281972518,8,234569393.0,2012-06-01,1.2246467991473532e-16,-1.0,891877.281972518,0.0,988070.0591779882,235623.2210946272,740422.152876642,338445.39375164465,891877.281972518,891877.281972518,1469033.94520534,402137.0958903728,945959.99999991,2012-06-01
2012,7,891877.281972518,8,234569393.0,2012-07-01,-0.4999999999999997,-0.8660254037844388,891877.281972518,0.0,988070.0591779884,235623.2210946272,781233.835050154,323125.7685900516,891877.281972518,891877.281972518,891877.281972518,891877.281972518,402137.0958903728,2012-07-01
2012,8,891877.281972518,8,234569393.0,2012-08-01,-0.8660254037844385,-0.5000000000000004,891877.281972518,0.0,988070.0591779882,235623.2210946272,822045.5172236661,301066.8001199808,891877.281972518,891877.281972518,891877.281972518,891877.281972518,402137.0958903728,2012-08-01
2012,9,891877.281972518,8,234569393.0,2012-09-01,-1.0,-1.8369701987210294e-16,891877.281972518,0.0,891877.281972518,0.0,817538.6240547169,299443.6251045243,891877.281972518,891877.281972518,891877.281972518,1469033.94520534,945959.99999991,2012-09-01
2012,10,891877.281972518,8,234569393.0,2012-10-01,-0.8660254037844386,0.5000000000000001,891877.281972518,0.0,891877.281972518,0.0,858350.306228229,269563.9604335616,891877.281972518,891877.281972518,891877.281972518,891877.281972518,402137.0958903728,2012-10-01
2012,11,891877.281972518,8,234569393.0,2012-11-01,-0.5000000000000004,0.8660254037844384,891877.281972518,0.0,891877.281972518,0.0,899161.9884017411,228098.5553349289,891877.281972518,891877.281972518,891877.281972518,891877.281972518,402137.0958903728,2012-11-01
2012,12,891877.281972518,8,234569393.0,2012-12-01,-2.4492935982947064e-16,1.0,891877.281972518,0.0,891877.281972518,0.0,939973.6705752532,166610.7774410275,891877.281972518,891877.281972518,891877.281972518,891877.281972518,402137.0958903728,2012-12-01
2013,1,904616.7123286813,10,237384226.0,2013-01-01,0.4999999999999999,0.8660254037844387,896123.7587579057,7355.113545470018,894000.5203652118,5200.850664390619,941035.2897716,166316.78159205904,891877.281972518,891877.281972518,891877.281972518,891877.281972518,891877.281972518,2013-01-01
2013,2,904616.7123286813,10,237384226.0,2013-02-01,0.8660254037844386,0.5000000000000001,900370.2355432934,7355.113545470119,896123.7587579056,6578.613547948049,942096.908967947,166014.85937297682,904616.7123286813,891877.281972518,891877.281972518,891877.281972518,891877.281972518,2013-02-01
2013,3,904616.7123286813,10,237384226.0,2013-03-01,1.0,6.123233995736766e-17,904616.7123286813,0.0,898246.9971505996,6977.673375839319,895062.1395615587,5761.624163748696,904616.7123286813,904616.7123286813,891877.281972518,891877.281972518,1469033.94520534,2013-03-01
2013,4,904616.7123286813,10,237384226.0,2013-04-01,0.8660254037844387,-0.4999999999999998,904616.7123286813,0.0,900370.2355432934,6578.613547948082,896123.7587579057,6272.461907057465,904616.7123286813,904616.7123286813,904616.7123286813,891877.281972518,891877.281972518,2013-04-01
2013,5,904616.7123286813,10,237384226.0,2013-05-01,0.4999999999999999,-0.8660254037844387,904616.7123286813,0.0,902493.4739359872,5200.85066439066,897185.3779542526,6559.897681991944,904616.7123286813,904616.7123286813,904616.7123286813,891877.281972518,891877.281972518,2013-05-01
2013,6,1494536.3835615015,10,237384226.0,2013-06-01,1.2246467991473532e-16,-1.0,1101256.6027396212,340590.28098652494,1002936.6575341512,240833.69729180317,947406.9697533346,172417.80741628143,904616.7123286813,904616.7123286813,904616.7123286813,891877.281972518,891877.281972518,2013-06-01
